"User Story: User Story Reference","User Story: Owner Name","Release","JIRA key","User Story: Created By"
"US-0009843","Aayush Shrivastava","Dearborn PNM Release","SFDC-38797","Aayush Shrivastava"
"US-0009852","Aayush Shrivastava","Dearborn PNM Release","SFDC-43337","Aayush Shrivastava"
"US-0009861","Aayush Shrivastava","Dearborn PNM Release","SFDC-43371","Aayush Shrivastava"
"US-0009874","Aayush Shrivastava","Dearborn PNM Release","SFDC-43371","Aayush Shrivastava"
"US-0009880","Aayush Shrivastava","Dearborn PNM Release","SFDC-43446","Aayush Shrivastava"
"US-0009921","Aayush Shrivastava","Dearborn PNM Release","SFDC-43503","Aayush Shrivastava"
"US-0009922","Aayush Shrivastava","Dearborn PNM Release","SFDC-42426","Aayush Shrivastava"
"US-0009924","Aayush Shrivastava","Dearborn PNM Release","SFDC-43504","Aayush Shrivastava"
"US-0009925","Aayush Shrivastava","Dearborn PNM Release","SFDC-43504","Aayush Shrivastava"
"US-0009927","Aayush Shrivastava","Dearborn PNM Release","SFDC-43504","Aayush Shrivastava"
"US-0010066","Aayush Shrivastava","Dearborn PNM Release","SFDC-43412","Aayush Shrivastava"
"US-0010081","Aayush Shrivastava","Dearborn PNM Release","SFDC-47672","Aayush Shrivastava"
"US-0007641","Aayush Shrivastava","Dearborn PNM Release","SFDC-38237","Aayush Shrivastava"
"US-0007652","Aayush Shrivastava","Dearborn PNM Release","SFDC-38181","Aayush Shrivastava"
"US-0007662","Aayush Shrivastava","Dearborn PNM Release","SFDC-38034","Aayush Shrivastava"
"US-0007669","Aayush Shrivastava","Dearborn PNM Release","SFDC-38043","Aayush Shrivastava"
"US-0008357","Aayush Shrivastava","Dearborn PNM Release","SFDC-40236","Aayush Shrivastava"
"US-0008379","Aayush Shrivastava","Dearborn PNM Release","SFDC-40236","Aayush Shrivastava"
"US-0008395","Aayush Shrivastava","Dearborn PNM Release","SFDC-40041","Aayush Shrivastava"
"US-0008397","Aayush Shrivastava","Dearborn PNM Release","SFDC-39647","Aayush Shrivastava"
"US-0008398","Aayush Shrivastava","Dearborn PNM Release","SFDC-40070","Aayush Shrivastava"
"US-0008399","Aayush Shrivastava","Dearborn PNM Release","SFDC-39649","Aayush Shrivastava"
"US-0008400","Aayush Shrivastava","Dearborn PNM Release","SFDC-39648","Aayush Shrivastava"
"US-0008412","Aayush Shrivastava","Dearborn PNM Release","SFDC-40063","Aayush Shrivastava"
"US-0008414","Aayush Shrivastava","Dearborn PNM Release","SFDC-40489","Aayush Shrivastava"
"US-0008462","Aayush Shrivastava","Dearborn PNM Release","SFDC-40549","Aayush Shrivastava"
"US-0008482","Aayush Shrivastava","Dearborn PNM Release","SFDC-40290","Aayush Shrivastava"
"US-0008483","Aayush Shrivastava","Dearborn PNM Release","SFDC-40290","Aayush Shrivastava"
"US-0008492","Aayush Shrivastava","Dearborn PNM Release","SFDC-39444","Aayush Shrivastava"
"US-0008498","Aayush Shrivastava","Dearborn PNM Release","SFDC-40579","Aayush Shrivastava"
"US-0008504","Aayush Shrivastava","Dearborn PNM Release","SFDC-38789","Aayush Shrivastava"
"US-0008517","Aayush Shrivastava","Dearborn PNM Release","SFDC-38789","Aayush Shrivastava"
"US-0008519","Aayush Shrivastava","Dearborn PNM Release","SFDC-38237","Aayush Shrivastava"
"US-0011229","Aayush Shrivastava","Dearborn PNM Release","SFDC-46360","Aayush Shrivastava"
"US-0011274","Aayush Shrivastava","Dearborn PNM Release","SFDC-46306","Aayush Shrivastava"
"US-0011277","Aayush Shrivastava","Dearborn PNM Release","SFDC-46304","Aayush Shrivastava"
"US-0011279","Aayush Shrivastava","Dearborn PNM Release","SFDC-46325","Aayush Shrivastava"
